"","schoolname","schoolcode","sssdistrict","ssslong","ssslat"
"47","ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,"Kumasi Metro",-1.59718716144562,6.68205976486206
"48","PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON",10111,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"49","ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"50","POPE JOHN SENIOR HIGH & JNR. SEM. SCH., KOFORIDUA",20102,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"51","ST. AUGUSTINE'S COLLEGE, CAPE COAST",30101,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"52","MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND",30301,"Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"53","ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"54","ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"55","ST. PETER'S SENIOR HIGH SCH, NKWATIA-KWAHU",21003,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"56","POPE JOHN SENIOR HIGH & JNR. SEM. SCH., KOFORIDUA",20102,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"57","MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST",30104,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"58","ST. AUGUSTINE'S COLLEGE, CAPE COAST",30101,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"59","ADISADEL COLLEGE, CAPE COAST",30102,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"60","YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,"Kumasi Metro",-1.59718716144562,6.68205976486206
"61","YAA ASANTEWAA GIRL'S SENIOR HIGH. SCHOOL, TANOSO",50201,"Kumasi Metro",-1.59718716144562,6.68205976486206
"62","ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,"Kumasi Metro",-1.59718716144562,6.68205976486206
"63","PREMPEH COLLEGE, KUMASI",50108,"Kumasi Metro",-1.59718716144562,6.68205976486206
