"","schoolname","schoolcode","sssdistrict","ssslong","ssslat"
"651","TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE",10116,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"652","POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,"Gomoa (Apam)",-0.723635494709015,5.40456104278564
"653","LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS",10128,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"654","AFUA KOBI AMPEM GIRLS SENIOR HIGH. SCHOOL, TRABUOM",51701,"Bosomtwe/Atwima/Kwanwoma (Kuntanase)",-1.56275165081024,6.55932283401489
"655","ASAMANKESE SENIOR HIGH. SCHOOL, ASAMANKESE",20501,"West Akim (Asamankese)",-0.609122574329376,5.8336124420166
"656","KETA BUSINESS SENIOR HIGH. SCHOOL, KETA",70504,"Keta",0.853055775165558,5.90746402740479
"657","TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA",10205,"Tema",-0.0500882156193256,5.69031476974487
"658","ODORGONNO SENIOR HIGH. SCH., AWOSHIE",10118,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"659","EJISUMAN SENIOR HIGH SCHOOL, EJISU",51601,"Ejisu/Juaben (Ejisu)",-1.38873517513275,6.70792675018311
"660","O'REILLY SENIOR HIGH SCHOOL, ADABRAKA",10108,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"661","ST. HUBERT SEM./SENIOR HIGH SCH, KUMASI",50119,"Kumasi Metro",-1.59718716144562,6.68205976486206
"662","ADA SENIOR HIGH. SCHOOL, ADA-FOAH",10301,"Dangme East (Ada)",0.106862179934978,5.91473388671875
"663","KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA",10109,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"664","BEREKUM SENIOR HIGH SCHOOL, BEREKUM",60301,"Berekum",-2.63174390792847,7.50356483459473
"665","POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,"Gomoa (Apam)",-0.723635494709015,5.40456104278564
"666","AKIM SWEDRU SENIOR HIGH. SCHOOL, AKIM SWEDRU",20602,"Birim South (Akim Oda)",-0.969164490699768,5.86416721343994
"667","NKAWKAW SENIOR HIGH SCH, NKAWKAW",21004,"Kwahu West (Nkawkaw)",-0.801975071430206,6.5270209312439
"668","BOMPEH SENIOR HIGH./TECH SCHOOL, TAKORADI",40108,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"669","DWAMENA AKENTEN SENIOR HIGH. SCHOOL, OFFINSO",50801,"Offinso",-1.89086854457855,7.34876441955566
"670","KPANDO SENIOR HIGH SCHOOL, KPANDO",70602,"Kpando",0.267385125160217,6.89685153961182
"671","AMASAMAN SENIOR HIGH./TECH SCH., AMASAMAN",10504,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"672","ADA SENIOR HIGH. SCHOOL, ADA-FOAH",10301,"Dangme East (Ada)",0.106862179934978,5.91473388671875
"673","BUSINESS SENIOR HIGH SCHOOL, TAMALE",80104,"Tamale",-0.784348249435425,9.38335132598877
"674","AWUDOME SENIOR HIGH. SCHOOL, TSITO",70104,"Ho Municipal",0.526142239570618,6.71760702133179
"675","GHANA SENIOR HIGH. SCHOOL, TAMALE",80102,"Tamale",-0.784348249435425,9.38335132598877
"676","SERWAA KESSE GIRLS SENIOR HIGH, DUAYAW NKWANTA",60203,"Tano North",-2.17906522750854,7.17709350585938
"677","KAJAJI SENIOR HIGH SCHOOL, KAJAJI SETT'NT TOWN",61102,"Sene (Kwame Danso)",-0.348857820034027,7.72152233123779
"678","DOMPOASE SENIOR HIGH. SCHOOL, DOMPOASE",51201,"Adansi West (Obuasi)",-1.65927422046661,5.98641157150269
"679","ADUMAN SENIOR HIGH SCHOOL, ADUMAN",50704,"Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872
"680","SENYA SENIOR HIGH SCHOOL, SENYA",30602,"Awutu/Efutu/Senya (Winneba)",-0.508638918399811,5.54489612579346
"681","SERWAA KESSE GIRLS SENIOR HIGH, DUAYAW NKWANTA",60203,"Tano North",-2.17906522750854,7.17709350585938
"682","QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI",100503,"Nadowli",-2.42762446403503,10.362509727478
"683","WESLEY HIGH SCHOOL, BEKWAI",50307,"Amansie East (Bekwai)",-1.37072885036469,6.38336086273193
"684","METHODIST GIRLS SENIOR HIGH. SCHOOL, MAMFE",20410,"Akwapim North (Akropong)",-0.166071146726608,5.97642612457275
"685","PRESBY SENIOR HIGH. SCHOOL, TEMA",10210,"Tema",-0.0500882156193256,5.69031476974487
"686","ABETIFI PRESBY SENIOR HIGH. SCHOOL, ABETIFI",21001,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"687","TEMA TECH. INST.",9010201,"Tema",-0.0500882156193256,5.69031476974487
"688","DROBO SENIOR HIGH SCHOOL, DROBO",60501,"Jaman (Drobo)",-2.7593035697937,7.68309593200684
"689","OSEI TUTU SENIOR HIGH. SCHOOL, AKROPONG",50203,"Atwima / Nwabiagya (Nkawie)",-1.80875706672668,6.68133735656738
"690","TWIFO PRASO SENIOR HIGH SCHOOL, TWIFO PRASO",31101,"Twifo Hemang (Twifo Praso)",-1.55970335006714,5.57299947738647
"691","OYOKO METHODIST SENIOR HIGH SCH., OYOKO-KOFORIDUA",20106,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"692","MPRAESO SENIOR HIGH. SCHOOL, MPRAESO",21002,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"693","BOMPEH SENIOR HIGH./TECH SCHOOL, TAKORADI",40108,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"694","ADA SENIOR HIGH./TECH. SCHOOL, ADA",10302,"Dangme East (Ada)",0.106862179934978,5.91473388671875
"695","ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN",10142,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"696","ANTOA SENIOR HIGH SCHOOL, ANTOA",50701,"Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872
"697","ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP",10115,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"698","OPPON MEMORIAL SENIOR HIGH. SCHOOL, KOKOFU",50302,"Amansie East (Bekwai)",-1.37072885036469,6.38336086273193
"699","AWUDOME SENIOR HIGH. SCHOOL, TSITO",70104,"Ho Municipal",0.526142239570618,6.71760702133179
"700","ST. MARY'S SEMINARY SENIOR HIGH. SCHOOL, LOLOBI",71005,"Hohoe",0.466238558292389,7.03059482574463
"701","FIASEMAN SENIOR HIGH. SCHOOL, BENKYIM TARKWA",40903,"Wassa West (Tarkwa)",-1.98885321617126,5.27604913711548
"702","OBUASI SENIOR HIGH./TECH. SCHOOL, OBUASI",51202,"Adansi West (Obuasi)",-1.65927422046661,5.98641157150269
"703","ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP",10115,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"704","ST. FRANCIS SENIOR HIGH./TECH SCH, AKIM ODA",20603,"Birim South (Akim Oda)",-0.969164490699768,5.86416721343994
"705","FIASEMAN SENIOR HIGH. SCHOOL, BENKYIM TARKWA",40903,"Wassa West (Tarkwa)",-1.98885321617126,5.27604913711548
"706","OPPON MEMORIAL SENIOR HIGH. SCHOOL, KOKOFU",50302,"Amansie East (Bekwai)",-1.37072885036469,6.38336086273193
"707","KADE DAY HIGH/TECH",21102,"Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"708","ODORGONNO SENIOR HIGH. SCH., AWOSHIE",10118,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"709","WA SENIOR HIGH SCHOOL, WA",100102,"Wa Municipal",-2.28503036499023,10.0306215286255
"710","OKOMFO ANOKYE SENIOR HIGH. SCHOOL, WIAMOASE",50601,"Afigya Sekyere (Agona)",-1.54861426353455,7.00199604034424
"711","POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,"Gomoa (Apam)",-0.723635494709015,5.40456104278564
"712","POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,"Gomoa (Apam)",-0.723635494709015,5.40456104278564
"713","HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA",10104,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"714","JUABEN SENIOR HIGH SCHOOL, JUABEN",51603,"Ejisu/Juaben (Ejisu)",-1.38873517513275,6.70792675018311
"715","DUNKWA SENIOR HIGH./TECH. SCHOOL, DUNKWA-ON-OFFIN",31002,"Upper Denkyira (Dunkwa-On-Offin)",-1.86744821071625,5.957923412323
"716","TAKORADI SENIOR HIGH SCHOOL, TANOKROM",40101,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"717","AMANIAMPONG SENIOR HIGH. SCHOOL, MAMPONG",50503,"Sekyere West (Mampong)",-1.18007683753967,7.19956493377686
"718","CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN",10119,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"719","E.P.C. MAWUKO GIRLS SENIOR HIGH. SCHOOL, HO",70106,"Ho Municipal",0.526142239570618,6.71760702133179
"720","WA SENIOR HIGH SCHOOL, WA",100102,"Wa Municipal",-2.28503036499023,10.0306215286255
"721","ACCRA TECH. TRG. CENTRE, KOKOMLEMLE       ",9010101,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"722","QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI",100503,"Nadowli",-2.42762446403503,10.362509727478
"723","DROBO SENIOR HIGH SCHOOL, DROBO",60501,"Jaman (Drobo)",-2.7593035697937,7.68309593200684
"724","NKWATIA PRESBY SENIOR HIGH./COMM SCH, NKWATIA",21006,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"725","KADJEBI-ASATO SENIOR HIGH. SCHOOL, KADJEBI-ASATO",71201,"Kadjebi",0.496497511863708,7.72158908843994
"726","GOWRIE SENIOR HIGH/TECHNICAL SCH, GOWRIE",90602,"Bongo",-0.787704288959503,10.9241199493408
"727","E.P. SENIOR HIGH SCHOOL, HOHOE",71006,"Hohoe",0.466238558292389,7.03059482574463
"728","CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN",10119,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"729","DWAMENA AKENTEN SENIOR HIGH. SCHOOL, OFFINSO",50801,"Offinso",-1.89086854457855,7.34876441955566
"730","WESLEY HIGH SCHOOL, BEKWAI",50307,"Amansie East (Bekwai)",-1.37072885036469,6.38336086273193
"731","AWUDOME SENIOR HIGH. SCHOOL, TSITO",70104,"Ho Municipal",0.526142239570618,6.71760702133179
"732","BAWKU SENIOR HIGH. SCH, BAWKU",90101,"Bawku East (Bawku)",-0.188137739896774,11.0363521575928
"733","NSEIN SENIOR HIGH SCHOOL - NSEIN",40301,"Nzema East (Axim)",-2.31180214881897,5.14122581481934
"734","METHODIST HIGH SCHOOL, SALTPOND",30304,"Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"735","NKAWIE SENIOR HIGH./TECH. SCH, NKAWIE",50204,"Atwima / Nwabiagya (Nkawie)",-1.80875706672668,6.68133735656738
"736","TECHIMAN SENIOR HIGH. SCHOOL, TECHIMAN",60701,"Techiman",-1.94484198093414,7.67761468887329
"737","AGOGO STATE COLLEGE, AGOGO",51001,"Asante Akim North (Konongo)",-1.01796305179596,6.83400392532349
"738","SIMMS SENIOR HIGH. COMM. SCHOOL, FAWOADE",50702,"Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872
"739","TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA",10205,"Tema",-0.0500882156193256,5.69031476974487
"740","MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO",21502,"Manya Krobo (Odumase-Krobo)",-0.127511590719223,6.41491651535034
"741","TWENE AMANFO SENIOR HIGH & TECHNICAL",60101,"Sunyani",-2.3274233341217,7.34467792510986
"742","BOLGA GIRLS SENIOR HIGH SCH, ZAARE-BOLGATANGA",90401,"Bolgatanga",-0.880232632160187,10.7424564361572
"743","FIASEMAN SENIOR HIGH. SCHOOL, BENKYIM TARKWA",40903,"Wassa West (Tarkwa)",-1.98885321617126,5.27604913711548
"744","ADA SENIOR HIGH. SCHOOL, ADA-FOAH",10301,"Dangme East (Ada)",0.106862179934978,5.91473388671875
"745","KUMASI TECH. INST., KUMASI             ",9050101,"Kumasi Metro",-1.59718716144562,6.68205976486206
"746","TEPA SENIOR HIGH SCHOOL, TEPA",51401,"Ahafo Ano North (Tepa)",-2.20757961273193,6.90082979202271
"747","ASUOM SENIOR HIGH SCHOOL, ASUOM",21101,"Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"748","PRESBYTARIAN SENIOR HIGH. SCHOOL, BEREKUM",60303,"Berekum",-2.63174390792847,7.50356483459473
"749","EDINAMAN SENIOR HIGH. SCHOOL, ELMINA",30201,"Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"750","NAVRONGO SENIOR HIGH SCH, JAMANIA-NAVRONGO",90501,"Kassena/Nankani (Navrongo)",-1.21744096279144,10.9094228744507
"751","ABETIFI PRESBY SENIOR HIGH. SCHOOL, ABETIFI",21001,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"752","OYOKO METHODIST SENIOR HIGH SCH., OYOKO-KOFORIDUA",20106,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"753","NKAWKAW SENIOR HIGH SCH, NKAWKAW",21004,"Kwahu West (Nkawkaw)",-0.801975071430206,6.5270209312439
"754","ST. PAUL TECH. SCHOOL, KUKURANTUMI",9021301,"East Akim (Kibi)",-0.454344213008881,6.17855787277222
"755","ST. FIDELIS SENIOR HIGH/TECHNICAL SCHOOL, TEASE",20902,"Kwahu North (Donkorkrom)",-0.264697343111038,6.91197347640991
"756","BOAKYE TROMO SENIOR HIGH/TECHNICAL SCHOOL, DUAYAW NKWANTA",60206,"Tano (Bechem)",-2.02141523361206,7.18365907669067
"757","ANTOA SENIOR HIGH SCHOOL, ANTOA",50701,"Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872
"758","ASAMANKESE SENIOR HIGH. SCHOOL, ASAMANKESE",20501,"West Akim (Asamankese)",-0.609122574329376,5.8336124420166
"759","AKIM SWEDRU SENIOR HIGH. SCHOOL, AKIM SWEDRU",20602,"Birim South (Akim Oda)",-0.969164490699768,5.86416721343994
"760","ST. JOSEPH'S TECH. INST., KWAHU-TAFO",9021001,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"761","BUSINESS SENIOR HIGH SCHOOL, TAMALE",80104,"Tamale",-0.784348249435425,9.38335132598877
"762","AGOGO STATE COLLEGE, AGOGO",51001,"Asante Akim North (Konongo)",-1.01796305179596,6.83400392532349
"763","ABUTIA SENIOR HIGH/TECHNICAL SCHOOL, ABUTIA-TETI",70114,"Ho Municipal",0.526142239570618,6.71760702133179
"764","SWEDRU SCHOOL OF BUSINESS, SWEDRU",30902,"Agona Swedru",-0.755242526531219,5.61735343933105
"765","EDINAMAN SENIOR HIGH. SCHOOL, ELMINA",30201,"Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"766","TAMALE SENIOR HIGH SCHOOL, TAMALE",80101,"Tamale",-0.784348249435425,9.38335132598877
"767","PRESBY SENIOR HIGH. SCH., BEGORO",21201,"Fanteakwa (Begoro)",-0.356094092130661,6.43607091903687
"768","DZODZE PENYI SENIOR HIGH. SCHOOL, DZODZE",70703,"Ketu (Denu)",1.03270864486694,6.11122751235962
"769","BAWKU SENIOR HIGH. SCH, BAWKU",90101,"Bawku East (Bawku)",-0.188137739896774,11.0363521575928
"770","ST. MARY'S BOY'S SENIOR HIGH. SCHOOL, APOWA",40201,"Ahanta West (Agona Ahanta)",-1.99056136608124,4.83470392227173
"771","ASUANSI TECH. INST., ASUANSI",9030401,"Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"772","PRESBYTARIAN SENIOR HIGH. SCHOOL, BEREKUM",60303,"Berekum",-2.63174390792847,7.50356483459473
"773","MANDO SENIOR HIGH./TECH. SCHOOL, MANDO",30701,"Ajumako/Enyan/Essiam (Ajumako)",-1.00538456439972,5.40172481536865
"774","SIMMS SENIOR HIGH. COMM. SCHOOL, FAWOADE",50702,"Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872
"775","W.B.M ZION SENIOR HIGH SCH, OLD TAFO",21301,"East Akim (Kibi)",-0.454344213008881,6.17855787277222
"776","AKWAMUMAN SENIOR HIGH. SCHOOL, ATIMPOKU-AKOSOMBO",20803,"Asuogyaman (Senchi Ferry)",0.0883282497525215,6.1892294883728
"777","OLA GIRLS SENIOR HIGH SCHOOL, HO",70101,"Ho Municipal",0.526142239570618,6.71760702133179
"778","DROBO SENIOR HIGH SCHOOL, DROBO",60501,"Jaman (Drobo)",-2.7593035697937,7.68309593200684
"779","DORMAA SENIOR HIGH SCHOOL, DORMAA",61001,"Dormaa (Dormaa Ahenkro)",-2.75384044647217,7.22284889221191
"780","OBIRI YEBOAH SENIOR HIGH. SCHOOL, ASSIN FOSU",31202,"Assin North (Assin Fosu)",-1.37461698055267,5.77799510955811
"781","SIMMS SENIOR HIGH. COMM. SCHOOL, FAWOADE",50702,"Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872
"782","AHANTAMAN SENIOR HIGH. SCHOOL, SEKONDI-KETAN",40106,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"783","MOZANO SENIOR HIGH. SCHOOL, MOZANO",30504,"Gomoa (Apam)",-0.723635494709015,5.40456104278564
"784","TWIFO PRASO SENIOR HIGH SCHOOL, TWIFO PRASO",31101,"Twifo Hemang (Twifo Praso)",-1.55970335006714,5.57299947738647
"785","AKPAFU SENIOR HIGH./TECH. SCHOOL, AKPAFU",71002,"Hohoe",0.466238558292389,7.03059482574463
"786","BOA-AMPONSEM SENIOR HIGH. SCHOOL, DUNKWA-ON-OFFIN",31001,"Upper Denkyira (Dunkwa-On-Offin)",-1.86744821071625,5.957923412323
"787","AGOGO STATE COLLEGE, AGOGO",51001,"Asante Akim North (Konongo)",-1.01796305179596,6.83400392532349
"788","AKIM SWEDRU SENIOR HIGH. SCHOOL, AKIM SWEDRU",20602,"Birim South (Akim Oda)",-0.969164490699768,5.86416721343994
"789","EDINAMAN SENIOR HIGH. SCHOOL, ELMINA",30201,"Edina/Komenda/Eguafo",-1.43741977214813,5.14079332351685
"790","TWENE AMANFO SENIOR HIGH & TECHNICAL",60101,"Sunyani",-2.3274233341217,7.34467792510986
"791","TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA",10205,"Tema",-0.0500882156193256,5.69031476974487
"792","AKIM SWEDRU SENIOR HIGH. SCHOOL, AKIM SWEDRU",20602,"Birim South (Akim Oda)",-0.969164490699768,5.86416721343994
"793","BEREKUM SENIOR HIGH SCHOOL, BEREKUM",60301,"Berekum",-2.63174390792847,7.50356483459473
"794","NSAWAM SENIOR HIGH. SCH., NSAWAM",20304,"Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"795","NKAWKAW SENIOR HIGH SCH, NKAWKAW",21004,"Kwahu West (Nkawkaw)",-0.801975071430206,6.5270209312439
"796","DWAMENA AKENTEN SENIOR HIGH. SCHOOL, OFFINSO",50801,"Offinso",-1.89086854457855,7.34876441955566
"797","TWIFO PRASO SENIOR HIGH SCHOOL, TWIFO PRASO",31101,"Twifo Hemang (Twifo Praso)",-1.55970335006714,5.57299947738647
"798","BIBIANI SENIOR HIGH./TECH. SCHOOL, BIBIANI",40701,"Bibiani/Anhwiaso/Bekwai (Bibiani)",-2.22354602813721,6.25989246368408
"799","KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA",10120,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"800","SACRED HEART SENIOR HIGH. SCHOOL, NSOATRE",60105,"Sunyani",-2.3274233341217,7.34467792510986
"801","CAPE COAST TECH. INST., CAPE COAST",9030101,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"802","BOMPEH SENIOR HIGH./TECH SCHOOL, TAKORADI",40108,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"803","EJISU SENIOR HIGH./TECH. SCHOOL, EJISU",51604,"Ejisu/Juaben (Ejisu)",-1.38873517513275,6.70792675018311
"804","NGLESHIE AMANFRO SENIOR HIGH. SCH., TORKUSE",10503,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"805","MPASATIA SENIOR HIGH./TECH. SCHOOL, MPASATIA",50205,"Atwima / Nwabiagya (Nkawie)",-1.80875706672668,6.68133735656738
"806","ABETIFI PRESBY SENIOR HIGH. SCHOOL, ABETIFI",21001,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"807","ST. AUGUSTINE SENIOR HIGH. SCHOOL, BOGOSO",40902,"Wassa West (Tarkwa)",-1.98885321617126,5.27604913711548
"808","MPASATIA SENIOR HIGH./TECH. SCHOOL, MPASATIA",50205,"Atwima / Nwabiagya (Nkawie)",-1.80875706672668,6.68133735656738
"809","LAWRA SENIOR HIGH SCHOOL, LAWRA",100202,"Lawra",-2.80094122886658,10.5463981628418
"810","SOGAKOFE SENIOR HIGH. SCHOOL, SOGAKOFE",70901,"South Tongu (Sogakope)",0.645589470863342,5.96053743362427
"811","PRESBY SENIOR HIGH. SCH., SUHUM",20202,"Suhum/Kraboa/Coaltar",-0.474989742040634,5.94451522827148
"812","KIBI SENIOR HIGH. / TECH. SCH, KIBI",21305,"East Akim (Kibi)",-0.454344213008881,6.17855787277222
"813","TAKORADI SENIOR HIGH SCHOOL, TANOKROM",40101,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"814","CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN",10119,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"815","EJISU SENIOR HIGH./TECH. SCHOOL, EJISU",51604,"Ejisu/Juaben (Ejisu)",-1.38873517513275,6.70792675018311
"816","ST. FRANCIS GIRLS SCHOOL, JIRAPA",100302,"Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"817","HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA",10104,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"818","ADEISO SENIOR HIGH SCHOOL, ADEISO",20503,"West Akim (Asamankese)",-0.609122574329376,5.8336124420166
"819","OBIRI YEBOAH SENIOR HIGH. SCHOOL, ASSIN FOSU",31202,"Assin North (Assin Fosu)",-1.37461698055267,5.77799510955811
"820","NKWATIA PRESBY SENIOR HIGH./COMM SCH, NKWATIA",21006,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"821","SEFWI-WIAWSO SENIOR HIGH. SCHOOL, SEFWI-WIAWSO",40601,"Sefwi Wiawso",-2.63786101341248,6.25838994979858
"822","NGLESHIE AMANFRO SENIOR HIGH. SCH., TORKUSE",10503,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"823","MPASATIA SENIOR HIGH./TECH. SCHOOL, MPASATIA",50205,"Atwima / Nwabiagya (Nkawie)",-1.80875706672668,6.68133735656738
"824","T.I. AHMAD. SENIOR HIGH SCHOOL, ASOKORE",51803,"Sekyere East (Effiduase)",-0.844235956668854,7.21082878112793
"825","ASANKRAGWA SENIOR HIGH. SCHOOL, ASANKRAGWA",40501,"Wassa Amenfi (Asankragwa)",-2.3020179271698,5.72551774978638
"826","TWIFO PRASO SENIOR HIGH SCHOOL, TWIFO PRASO",31101,"Twifo Hemang (Twifo Praso)",-1.55970335006714,5.57299947738647
"827","OPPON MEMORIAL SENIOR HIGH. SCHOOL, KOKOFU",50302,"Amansie East (Bekwai)",-1.37072885036469,6.38336086273193
"828","AMASAMAN SENIOR HIGH./TECH SCH., AMASAMAN",10504,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"829","BIBIANI SENIOR HIGH./TECH. SCHOOL, BIBIANI",40701,"Bibiani/Anhwiaso/Bekwai (Bibiani)",-2.22354602813721,6.25989246368408
"830","EJISU SENIOR HIGH./TECH. SCHOOL, EJISU",51604,"Ejisu/Juaben (Ejisu)",-1.38873517513275,6.70792675018311
"831","TEPA SENIOR HIGH SCHOOL, TEPA",51401,"Ahafo Ano North (Tepa)",-2.20757961273193,6.90082979202271
"832","BAWKU SENIOR HIGH. SCH, BAWKU",90101,"Bawku East (Bawku)",-0.188137739896774,11.0363521575928
"833","MPASATIA SENIOR HIGH./TECH. SCHOOL, MPASATIA",50205,"Atwima / Nwabiagya (Nkawie)",-1.80875706672668,6.68133735656738
"834","ASANKRAGWA SENIOR HIGH. SCHOOL, ASANKRAGWA",40501,"Wassa Amenfi (Asankragwa)",-2.3020179271698,5.72551774978638
"835","HWIDIEM SENIOR HIGH SCHOOL, HWIDIEM",61203,"Asutifi (Kenyasi)",-2.51506805419922,7.02809381484985
"836","ST. FRANCIS GIRLS SCHOOL, JIRAPA",100302,"Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"837","SIMMS SENIOR HIGH. COMM. SCHOOL, FAWOADE",50702,"Kwabre (Mamponteng)",-1.54142010211945,6.80677843093872
"838","ST. PAUL TECH. SCHOOL, KUKURANTUMI",9021301,"East Akim (Kibi)",-0.454344213008881,6.17855787277222
"839","SEFWI-WIAWSO SENIOR HIGH. SCHOOL, SEFWI-WIAWSO",40601,"Sefwi Wiawso",-2.63786101341248,6.25838994979858
"840","OYOKO METHODIST SENIOR HIGH SCH., OYOKO-KOFORIDUA",20106,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"841","T.I. AHMAD MUSLIM SENIOR HIGH SCHOOL, FOMENA",51203,"Adansi West (Obuasi)",-1.65927422046661,5.98641157150269
"842","NORTHERN SCH OF BUSINESS, TAMALE",80103,"Tamale",-0.784348249435425,9.38335132598877
"843","BATTOR SENIOR HIGH SCHOOL",70806,"North Tongu (Adidome)",0.407175898551941,6.13318634033203
"844","MOZANO SENIOR HIGH. SCHOOL, MOZANO",30504,"Gomoa (Apam)",-0.723635494709015,5.40456104278564
"845","BUSINESS SENIOR HIGH SCHOOL, TAMALE",80104,"Tamale",-0.784348249435425,9.38335132598877
"846","CAPE COAST TECH. INST., CAPE COAST",9030101,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"847","NSAWAM SENIOR HIGH. SCH., NSAWAM",20304,"Akwapim South (Nsawam)",-0.268249362707138,5.82600259780884
"848","GHANA SENIOR HIGH. SCHOOL, TAMALE",80102,"Tamale",-0.784348249435425,9.38335132598877
"849","BOMPEH SENIOR HIGH./TECH SCHOOL, TAKORADI",40108,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"850","NKWATIA PRESBY SENIOR HIGH./COMM SCH, NKWATIA",21006,"Kwahu South (Mpraeso)",-0.635528683662415,6.61922645568848
"851","ACCRA TECH. TRG. CENTRE, KOKOMLEMLE",9010101,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"852","ACADEMY OF CHRIST THE KING, CAPE COAST",30109,"Cape Coast Municipal",-1.3065938949585,5.15365600585938
"853","AMEYAW AKUMFI SENIOR HIGH./TECH. SCHOOL, AWOROWA",60702,"Techiman",-1.94484198093414,7.67761468887329
"854","WA SENIOR HIGH SCHOOL, WA",100102,"Wa Municipal",-2.28503036499023,10.0306215286255
