"","jssdistrict","point_x","point_y"
"96","Tolon Kunbungu (Tolon)",-1.10971987247467,9.52724552154541
"97","West Gonja (Damongo)",-1.70040583610535,9.50565147399902
"98","West Mamprusi (Walewale)",-1.11731052398682,10.3346328735352
"99","Zabzugu Tatale (Zabzugu)",0.371232807636261,9.13971710205078
"100","Bawku East (Bawku)",-0.188137739896774,11.0363521575928
"101","Bawku West (Zebilla)",-0.478857457637787,10.8185272216797
"102","Bolgatanga",-0.880232632160187,10.7424564361572
"103","Bongo",-0.787704288959503,10.9241199493408
"104","Builsa (Sandema)",-1.33749449253082,10.5570726394653
"105","Kassena/Nankani (Navrongo)",-1.21744096279144,10.9094228744507
"106","Wa West (Wechiau)",-2.64412522315979,9.91548728942871
"107","Wa East (Funsi)",-1.83356428146362,9.95277690887451
"108","Sisala west (Gwollu)",-2.28611850738525,10.7578830718994
"109","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"110","Lawra",-2.80094122886658,10.5463981628418
"111","Nadowli",-2.42762446403503,10.362509727478
"112","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"113","Wa Municipal",-2.28503036499023,10.0306215286255
"114","Krachi East (Dambai)",0.217028766870499,7.74382829666138
"115","Buem (Jasikan)",0.436103850603104,7.32201671600342
"116","Akatsi",0.842700481414795,6.20688915252686
"117","Ho Municipal",0.526142239570618,6.71760702133179
"118","Hohoe",0.466238558292389,7.03059482574463
"119","Kadjebi",0.496497511863708,7.72158908843994
"120","Keta",0.853055775165558,5.90746402740479
"121","Kete Krachie",-0.0899035781621933,8.05344390869141
"122","Ketu (Denu)",1.03270864486694,6.11122751235962
"123","Kpando",0.267385125160217,6.89685153961182
"124","Nkwanta",0.40209686756134,8.32355308532715
"125","North Tongu (Adidome)",0.407175898551941,6.13318634033203
"126","South Tongu (Sogakope)",0.645589470863342,5.96053743362427
"127","Wassa Amenfi East (Wassa Akropong)",-2.02211833000183,5.83388614654541
"128","Bia (Essam)",-3.04354381561279,6.73738622665405
"129","Ahanta West (Agona Ahanta)",-1.99056136608124,4.83470392227173
"130","Aowin Suaman (Enchi)",-2.78972434997559,5.78654623031616
"131","Bibiani/Anhwiaso/Bekwai (Bibiani)",-2.22354602813721,6.25989246368408
"132","Jomoro (Half Assini)",-2.80322027206421,5.06950759887695
"133","Juaboso Bia (Juaboso)",-2.92668342590332,6.35921287536621
"134","Mpohor-Wassa East (Daboase)",-1.69756937026978,5.3307957649231
"135","Nzema East (Axim)",-2.31180214881897,5.14122581481934
"136","Sefwi Wiawso",-2.63786101341248,6.25838994979858
"137","Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"138","Wassa Amenfi (Asankragwa)",-2.3020179271698,5.72551774978638
"139","Wassa West (Tarkwa)",-1.98885321617126,5.27604913711548
